County_State,State,Total_Population,Male_Population,Female_Population,State_Code,County_Code,Median_Income,Margin_Error_Income,Percent_Male,Percent_Female
Chase County, Nebraska,3893,3647,11,31,29,56135,3975,93.68,0.28
Clay County, Nebraska,6104,5795,16,31,35,63686,4117,94.94,0.26
Cuming County, Nebraska,9013,8581,28,31,39,59202,3617,95.21,0.31
Dawes County, Nebraska,8199,7753,15,31,45,49379,4974,94.56,0.18
Dixon County, Nebraska,5606,5216,13,31,51,57243,4019,93.04,0.23
Dundy County, Nebraska,1654,1576,0,31,57,49211,10025,95.28,0
Frontier County, Nebraska,2519,2431,10,31,63,59250,5345,96.51,0.4
Garden County, Nebraska,1874,1801,2,31,69,42076,2896,96.1,0.11
Grant County, Nebraska,611,599,5,31,75,43625,15930,98.04,0.82
Hamilton County, Nebraska,9429,9091,16,31,81,68649,4305,96.42,0.17
Hitchcock County, Nebraska,2616,2525,9,31,87,46000,4954,96.52,0.34
Howard County, Nebraska,6475,6297,0,31,93,59432,8505,97.25,0
Kearney County, Nebraska,6688,6377,16,31,99,62899,8541,95.35,0.24
Kimball County, Nebraska,3434,3241,10,31,105,48056,8363,94.38,0.29
Lincoln County, Nebraska,34676,32590,36,31,111,59995,4621,93.98,0.1
McPherson County, Nebraska,399,385,1,31,117,51932,12770,96.49,0.25
Morrill County, Nebraska,4555,4238,14,31,123,46903,4483,93.04,0.31
Nemaha County, Nebraska,7074,6821,17,31,127,50236,5129,96.42,0.24
Valley County, Nebraska,4059,3953,7,31,175,56205,6006,97.39,0.17
Wayne County, Nebraska,9697,9214,22,31,179,58894,3906,95.02,0.23
York County, Nebraska,14125,13548,22,31,185,63105,3710,95.92,0.16
Adams County, Nebraska,31205,29093,55,31,1,56007,2476,93.23,0.18
Antelope County, Nebraska,6295,6091,0,31,3,52569,4268,96.76,0
Banner County, Nebraska,674,635,5,31,7,53864,8194,94.21,0.74
Blaine County, Nebraska,431,407,4,31,9,55268,5923,94.43,0.93
Box Butte County, Nebraska,10842,9989,39,31,13,61904,9024,92.13,0.36
Boyd County, Nebraska,1810,1755,5,31,15,53846,9411,96.96,0.28
Buffalo County, Nebraska,50084,47159,104,31,19,63513,4101,94.16,0.21
Burt County, Nebraska,6722,6456,16,31,21,51961,3380,96.04,0.24
Cass County, Nebraska,26598,25261,40,31,25,73683,2401,94.97,0.15
Cedar County, Nebraska,8380,8195,4,31,27,64703,3634,97.79,0.05
Cherry County, Nebraska,5455,5175,15,31,31,55431,5333,94.87,0.27
Cheyenne County, Nebraska,9468,8990,21,31,33,52270,2241,94.95,0.22
Colfax County, Nebraska,10582,9551,52,31,37,64269,3184,90.26,0.49
Custer County, Nebraska,10545,10180,11,31,41,53891,3071,96.54,0.1
Dakota County, Nebraska,21582,18292,91,31,43,61227,5601,84.76,0.42
Dawson County, Nebraska,24111,21601,79,31,47,56731,3959,89.59,0.33
Deuel County, Nebraska,1838,1763,8,31,49,48958,3749,95.92,0.44
Dodge County, Nebraska,37167,34547,81,31,53,58439,3455,92.95,0.22
Douglas County, Nebraska,584526,534285,2807,31,55,66600,1084,91.4,0.48
Fillmore County, Nebraska,5551,5351,10,31,59,62151,6547,96.4,0.18
Franklin County, Nebraska,2889,2820,5,31,61,50231,3397,97.61,0.17
Furnas County, Nebraska,4636,4415,7,31,65,53533,4391,95.23,0.15
Gage County, Nebraska,21704,20827,27,31,67,51812,2425,95.96,0.12
Garfield County, Nebraska,1813,1765,7,31,71,54659,6328,97.35,0.39
Gosper County, Nebraska,1893,1822,5,31,73,65086,6044,96.25,0.26
Greeley County, Nebraska,2188,2152,6,31,77,46830,3842,98.35,0.27
Hall County, Nebraska,62895,56996,163,31,79,58595,2425,90.62,0.26
Harlan County, Nebraska,3073,2974,5,31,83,51534,6538,96.78,0.16
Hayes County, Nebraska,856,811,7,31,85,52396,6494,94.74,0.82
Holt County, Nebraska,10127,9848,5,31,89,60214,3543,97.24,0.05
Hooker County, Nebraska,711,676,3,31,91,48654,15594,95.08,0.42
Jefferson County, Nebraska,7240,6932,3,31,95,48981,2942,95.75,0.04
Johnson County, Nebraska,5290,5072,10,31,97,49382,5852,95.88,0.19
Keith County, Nebraska,8335,7855,14,31,101,52169,3108,94.24,0.17
Keya Paha County, Nebraska,769,746,6,31,103,55250,9656,97.01,0.78
Knox County, Nebraska,8391,8118,15,31,107,53653,3015,96.75,0.18
Lancaster County, Nebraska,322608,299621,1330,31,109,62464,1162,92.87,0.41
Logan County, Nebraska,716,681,3,31,113,45990,5846,95.11,0.42
Loup County, Nebraska,607,574,4,31,115,46111,7135,94.56,0.66
Madison County, Nebraska,35585,32866,97,31,119,52334,2315,92.36,0.27
Merrick County, Nebraska,7668,7323,25,31,121,52254,3833,95.5,0.33
Nance County, Nebraska,3380,3259,4,31,125,53147,3499,96.42,0.12
Nuckolls County, Nebraska,4095,3925,7,31,129,52975,2432,95.85,0.17
Otoe County, Nebraska,15912,14988,18,31,131,64755,3575,94.19,0.11
Pawnee County, Nebraska,2544,2487,3,31,133,46063,6111,97.76,0.12
Perkins County, Nebraska,2858,2746,4,31,135,61389,9256,96.08,0.14
Phelps County, Nebraska,8968,8585,9,31,137,58105,3326,95.73,0.1
Pierce County, Nebraska,7317,7117,17,31,139,57629,4216,97.27,0.23
Platte County, Nebraska,34296,31506,62,31,141,60878,3121,91.86,0.18
Polk County, Nebraska,5214,4951,4,31,143,59837,5346,94.96,0.08
Red Willow County, Nebraska,10702,10267,20,31,145,48140,5406,95.94,0.19
Richardson County, Nebraska,7871,7465,27,31,147,44524,3408,94.84,0.34
Rock County, Nebraska,1262,1236,13,31,149,51458,7482,97.94,1.03
Saline County, Nebraska,14292,12859,37,31,151,52956,3854,89.97,0.26
Sarpy County, Nebraska,190604,173093,1007,31,153,83051,1449,90.81,0.53
Saunders County, Nebraska,22278,21381,13,31,155,70414,3447,95.97,0.06
Scotts Bluff County, Nebraska,36084,32290,92,31,157,53433,2608,89.49,0.25
Seward County, Nebraska,17609,16959,26,31,159,71111,3590,96.31,0.15
Sheridan County, Nebraska,5127,4841,13,31,161,45543,3872,94.42,0.25
Sherman County, Nebraska,2959,2850,14,31,163,53158,3854,96.32,0.47
Sioux County, Nebraska,1135,1091,1,31,165,47422,3339,96.12,0.09
Stanton County, Nebraska,5842,5529,22,31,167,64808,6162,94.64,0.38
Thayer County, Nebraska,5034,4902,7,31,169,53234,2399,97.38,0.14
Thomas County, Nebraska,669,639,3,31,171,59000,13297,95.52,0.45
Thurston County, Nebraska,6773,6581,15,31,173,55574,4568,97.17,0.22
Washington County, Nebraska,20865,19978,40,31,177,71505,5534,95.75,0.19
Webster County, Nebraska,3395,3238,5,31,181,51684,3314,95.38,0.15
Wheeler County, Nebraska,774,745,4,31,183,48438,5915,96.25,0.52
Douglas County, Nevada,49488,44837,255,32,5,71415,2713,90.6,0.52
Eureka County, Nevada,1855,1662,11,32,11,67478,27402,89.6,0.59
Lincoln County, Nevada,4499,4303,22,32,17,56537,6164,95.64,0.49
Nye County, Nevada,51591,46160,275,32,23,47308,4341,89.47,0.53
Washoe County, Nevada,486492,423304,3643,32,31,68272,1931,87.01,0.75
Churchill County, Nevada,25516,22623,144,32,1,56335,6530,88.66,0.56
Clark County, Nevada,2265461,1933366,24293,32,3,61048,519,85.34,1.07
Elko County, Nevada,53702,47785,190,32,7,79375,4206,88.98,0.35
Esmeralda County, Nevada,729,653,17,32,9,31845,6720,89.57,2.33
Humboldt County, Nevada,17285,15265,73,32,13,66123,4707,88.31,0.42
Lander County, Nevada,5734,5133,43,32,15,73797,20680,89.52,0.75
Lyon County, Nevada,59235,52151,391,32,19,58814,2228,88.04,0.66
Mineral County, Nevada,4554,4193,44,32,21,31500,7883,92.07,0.97
Pershing County, Nevada,6650,6059,22,32,27,57074,8595,91.11,0.33
Storey County, Nevada,4104,3699,30,32,29,64000,8652,90.13,0.73
White Pine County, Nevada,9080,8315,43,32,33,57353,6105,91.57,0.47
Carson City, Nevada,58639,51097,354,32,510,58305,2023,87.14,0.6
Belknap County, New Hampshire,63705,60615,143,33,1,67328,4828,95.15,0.22
Coos County, New Hampshire,31268,29925,49,33,7,48945,1963,95.7,0.16
Merrimack County, New Hampshire,153808,145892,306,33,13,77937,2321,94.85,0.2
Sullivan County, New Hampshire,43063,40500,102,33,19,63760,3966,94.05,0.24
Carroll County, New Hampshire,50107,48155,87,33,3,66932,3996,96.1,0.17
Cheshire County, New Hampshire,76458,72558,181,33,5,64686,3146,94.9,0.24
Grafton County, New Hampshire,91118,86114,217,33,9,67476,3346,94.51,0.24
Hillsborough County, New Hampshire,422937,393747,1335,33,11,82099,1260,93.1,0.32
Rockingham County, New Hampshire,314176,298648,652,33,15,93962,2363,95.06,0.21
Strafford County, New Hampshire,130889,123633,393,33,17,72682,2549,94.46,0.3
Bergen County, New Jersey,955732,858445,4718,34,3,104623,1603,89.82,0.49
Cape May County, New Jersey,95263,89588,247,34,9,72385,1989,94.04,0.26
Gloucester County, New Jersey,302294,281793,1212,34,15,89056,2949,93.22,0.4
Mercer County, New Jersey,387340,354197,1764,34,21,83306,1966,91.44,0.46
Morris County, New Jersey,509285,462546,2074,34,27,117298,2241,90.82,0.41
Salem County, New Jersey,64837,60160,234,34,33,64234,2356,92.79,0.36
Union County, New Jersey,575345,496134,3183,34,39,82644,1642,86.23,0.55
Atlantic County, New Jersey,274534,248886,1329,34,1,63680,2011,90.66,0.48
Burlington County, New Jersey,461860,424520,2656,34,5,90329,1144,91.92,0.58
Camden County, New Jersey,523485,480854,2573,34,7,70957,1199,91.86,0.49
Cumberland County, New Jersey,154152,135746,1033,34,11,55709,2200,88.06,0.67
Essex County, New Jersey,863728,773192,4378,34,13,63959,1212,89.52,0.51
Hudson County, New Jersey,724854,620369,4662,34,17,75062,1415,85.59,0.64
Hunterdon County, New Jersey,128947,120088,362,34,19,117858,4348,93.13,0.28
Middlesex County, New Jersey,863162,784897,3720,34,23,91731,1116,90.93,0.43
Monmouth County, New Jersey,643615,592279,2279,34,25,103523,1761,92.02,0.35
Ocean County, New Jersey,637229,594877,1597,34,29,72679,1275,93.35,0.25
Passaic County, New Jersey,524118,459499,2837,34,31,73562,1609,87.67,0.54
Somerset County, New Jersey,345361,314122,1454,34,35,116510,2194,90.95,0.42
Sussex County, New Jersey,144221,132794,437,34,37,96222,2148,92.08,0.3
Warren County, New Jersey,109632,100514,401,34,41,83497,2511,91.68,0.37
Catron County, New Mexico,3579,3219,9,35,3,36607,8958,89.94,0.25
Chaves County, New Mexico,65157,52886,287,35,5,46254,2393,81.17,0.44
Cibola County, New Mexico,27172,23696,123,35,6,44731,3783,87.21,0.45
Colfax County, New Mexico,12387,9779,95,35,7,36937,4886,78.95,0.77
Curry County, New Mexico,48430,40520,258,35,9,48903,2442,83.67,0.53
De Baca County, New Mexico,1698,1510,19,35,11,31532,13343,88.93,1.12
Doña Ana County, New Mexico,219561,159464,1682,35,13,44024,2292,72.63,0.77
Eddy County, New Mexico,62314,50648,243,35,15,65000,3898,81.28,0.39
Grant County, New Mexico,28185,22692,188,35,17,37453,3245,80.51,0.67
Guadalupe County, New Mexico,4452,3095,34,35,19,31061,5288,69.52,0.76
Harding County, New Mexico,657,485,11,35,21,32500,7357,73.82,1.67
Hidalgo County, New Mexico,4178,3205,34,35,23,44722,7506,76.71,0.81
Lea County, New Mexico,74455,58897,318,35,25,61867,2788,79.1,0.43
Lincoln County, New Mexico,20269,17089,94,35,27,44939,3077,84.31,0.46
Los Alamos County, New Mexico,19419,16820,136,35,28,119266,4427,86.62,0.7
Luna County, New Mexico,25427,19096,141,35,29,32251,3688,75.1,0.55
McKinley County, New Mexico,72902,69068,203,35,31,36179,1784,94.74,0.28
Mora County, New Mexico,4189,2867,41,35,33,29458,9207,68.44,0.98
Otero County, New Mexico,67839,55420,450,35,35,45032,2105,81.69,0.66
Quay County, New Mexico,8746,7490,43,35,37,33962,4287,85.64,0.49
Rio Arriba County, New Mexico,40363,29822,304,35,39,42264,3387,73.88,0.75
Sandoval County, New Mexico,148834,121740,1358,35,43,65071,2166,81.8,0.91
San Juan County, New Mexico,121661,110594,509,35,45,47643,2595,90.9,0.42
Santa Fe County, New Mexico,154823,120728,1205,35,49,60668,2400,77.98,0.78
Socorro County, New Mexico,16595,13408,126,35,53,40297,5122,80.8,0.76
Taos County, New Mexico,34489,26901,327,35,55,41973,3403,78,0.95
Union County, New Mexico,4079,3241,34,35,59,35484,8155,79.46,0.83
Valencia County, New Mexico,76205,58395,530,35,61,50801,2405,76.63,0.7
Bernalillo County, New Mexico,676444,534445,6313,35,1,54308,929,79.01,0.93
Roosevelt County, New Mexico,19191,16085,71,35,41,42917,3311,83.82,0.37
San Miguel County, New Mexico,27201,19121,169,35,47,32310,2911,70.3,0.62
Sierra County, New Mexico,11576,10132,40,35,51,33873,5975,87.53,0.35
Torrance County, New Mexico,15045,12718,103,35,57,38240,6353,84.53,0.68
Allegany County, New York,46456,44541,82,36,3,51227,1326,95.88,0.18
Cattaraugus County, New York,77042,73029,172,36,9,50700,1342,94.79,0.22
Chemung County, New York,84148,78412,306,36,15,54883,2149,93.18,0.36
Columbia County, New York,61570,57314,215,36,21,68750,2716,93.09,0.35
Dutchess County, New York,295911,270087,1421,36,27,81842,1329,91.27,0.48
Essex County, New York,37381,35403,84,36,31,58109,2732,94.71,0.22
Genesee County, New York,58388,55255,112,36,37,60635,2599,94.63,0.19
Herkimer County, New York,60139,56900,109,36,43,58438,3520,94.61,0.18
Lewis County, New York,26582,25558,29,36,49,56192,2172,96.15,0.11
Monroe County, New York,759443,705359,3229,36,55,62087,820,92.88,0.43
New York County, New York,1694251,1518810,12109,36,61,89812,1681,89.64,0.71
Onondaga County, New York,476516,443829,2034,36,67,62668,1220,93.14,0.43
Orleans County, New York,40343,37906,91,36,73,52958,2200,93.96,0.23
Putnam County, New York,97668,88221,420,36,79,107246,3741,90.33,0.43
Richmond County, New York,495747,456927,2161,36,85,85381,2396,92.17,0.44
Albany County, New York,314848,293076,1410,36,1,68327,1686,93.08,0.45
Bronx County, New York,1472654,1280481,13624,36,5,41895,624,86.95,0.93
Broome County, New York,198683,185345,813,36,7,52237,1516,93.29,0.41
Cayuga County, New York,76248,71709,194,36,11,57985,2448,94.05,0.25
Chautauqua County, New York,127657,118513,412,36,13,48315,1496,92.84,0.32
Chenango County, New York,47220,44627,84,36,17,51756,2231,94.51,0.18
Clinton County, New York,79843,75498,172,36,19,59510,2553,94.56,0.22
Cortland County, New York,46809,44137,85,36,23,59194,3852,94.29,0.18
Delaware County, New York,44308,41833,119,36,25,49945,2255,94.41,0.27
Erie County, New York,954236,902420,2894,36,29,59464,843,94.57,0.3
Franklin County, New York,47555,45699,74,36,33,52905,2050,96.1,0.16
Fulton County, New York,53324,50005,119,36,35,51663,3298,93.78,0.22
Greene County, New York,47931,44482,215,36,39,56681,4389,92.8,0.45
Hamilton County, New York,5107,4865,23,36,41,60625,10526,95.26,0.45
Jefferson County, New York,116721,108443,433,36,45,54726,1793,92.91,0.37
Kings County, New York,2736074,2498775,13625,36,47,63973,679,91.33,0.5
Livingston County, New York,61834,58436,113,36,51,60248,1825,94.5,0.18
Madison County, New York,68016,64297,117,36,53,61176,2252,94.53,0.17
Montgomery County, New York,49532,45079,234,36,57,50146,2124,91.01,0.47
Nassau County, New York,1395774,1278463,5100,36,59,120036,1590,91.6,0.37
Niagara County, New York,212666,200302,725,36,63,57252,1776,94.19,0.34
Oneida County, New York,232125,218604,637,36,65,59113,1291,94.18,0.27
Ontario County, New York,112458,105861,307,36,69,64795,1952,94.13,0.27
Orange County, New York,401310,360810,2454,36,71,80816,1861,89.91,0.61
Oswego County, New York,117525,111261,260,36,75,59070,1911,94.67,0.22
Otsego County, New York,58524,55396,139,36,77,56171,1720,94.66,0.24
Queens County, New York,2405464,2162100,13252,36,81,72028,691,89.88,0.55
Rensselaer County, New York,161130,149004,715,36,83,72510,1492,92.47,0.44
Rockland County, New York,338329,311029,1378,36,87,94840,2406,91.93,0.41
St. Lawrence County, New York,108505,103942,183,36,89,52071,1420,95.79,0.17
Saratoga County, New York,235509,220928,637,36,91,85224,2473,93.81,0.27
Schenectady County, New York,158061,142902,914,36,93,66488,1769,90.41,0.58
Schoharie County, New York,29714,28018,77,36,95,58926,2938,94.29,0.26
Schuyler County, New York,17898,17103,45,36,97,53291,4447,95.56,0.25
Seneca County, New York,33814,32039,86,36,99,54865,2636,94.75,0.25
Steuben County, New York,93584,88966,134,36,101,55349,1418,95.07,0.14
Suffolk County, New York,1525920,1378708,6766,36,103,105362,1133,90.35,0.44
Sullivan County, New York,78624,71066,407,36,105,60433,2500,90.39,0.52
Tioga County, New York,48455,45880,89,36,107,61965,2188,94.69,0.18
Tompkins County, New York,105740,97041,523,36,109,61361,2094,91.77,0.49
Ulster County, New York,181851,165933,933,36,111,65306,1764,91.25,0.51
Warren County, New York,65737,62131,135,36,113,64658,2711,94.51,0.21
Washington County, New York,61302,58103,97,36,115,59613,3032,94.78,0.16
Wayne County, New York,91283,85470,233,36,117,62003,1907,93.63,0.26
Westchester County, New York,1004457,894667,5947,36,119,99489,1737,89.07,0.59
Wyoming County, New York,40531,38961,65,36,121,58746,2402,96.13,0.16
Yates County, New York,24774,23827,44,36,123,55307,3435,96.18,0.18
Anson County, North Carolina,22055,21340,30,37,7,39799,5189,96.76,0.14
Beaufort County, North Carolina,44652,42822,102,37,13,48051,3675,95.9,0.23
Brunswick County, North Carolina,136693,129304,280,37,19,59763,1672,94.59,0.2
Cabarrus County, North Carolina,225804,208495,1018,37,25,71177,2377,92.33,0.45
Carteret County, North Carolina,67686,63915,212,37,31,57871,2532,94.43,0.31
Chatham County, North Carolina,76285,70823,279,37,37,69799,4161,92.84,0.37
Cleveland County, North Carolina,99519,94489,259,37,45,43512,1898,94.95,0.26
Cumberland County, North Carolina,334728,301538,3195,37,51,48177,975,90.08,0.95
Davidson County, North Carolina,168930,159314,419,37,57,50454,1401,94.31,0.25
Durham County, North Carolina,324833,301120,1620,37,63,62812,1502,92.7,0.5
Franklin County, North Carolina,68573,64574,211,37,69,58172,2797,94.17,0.31
Graham County, North Carolina,8030,7677,34,37,75,42207,6008,95.6,0.42
Guilford County, North Carolina,541299,506368,2560,37,81,54794,1163,93.55,0.47
Haywood County, North Carolina,62089,59067,132,37,87,51548,2232,95.13,0.21
Hyde County, North Carolina,4589,4360,16,37,95,46667,13994,95.01,0.35
Johnston County, North Carolina,215999,198061,965,37,101,61806,1537,91.7,0.45
Lenoir County, North Carolina,55122,52532,160,37,107,39923,1963,95.3,0.29
Macon County, North Carolina,37014,34678,81,37,113,45703,4197,93.69,0.22
Mecklenburg County, North Carolina,1115482,1027992,5178,37,119,69240,1176,92.16,0.46
Stanly County, North Carolina,62504,59538,126,37,167,54104,2023,95.25,0.2
Swain County, North Carolina,14117,13209,51,37,173,45554,5868,93.57,0.36
Union County, North Carolina,238267,219787,901,37,179,82557,2024,92.24,0.38
Warren County, North Carolina,18642,17920,57,37,185,37476,2644,96.13,0.31
Wayne County, North Carolina,117333,109739,454,37,191,47221,1774,93.53,0.39
Yadkin County, North Carolina,37214,35179,89,37,197,46954,3217,94.53,0.24
Alamance County, North Carolina,171415,159680,727,37,1,51580,1749,93.15,0.42
Alexander County, North Carolina,36444,34766,42,37,3,51329,3341,95.4,0.12
Alleghany County, North Carolina,10888,10318,43,37,5,37158,5049,94.76,0.39
Ashe County, North Carolina,26577,25477,57,37,9,43030,2327,95.86,0.21
Avery County, North Carolina,17806,17110,33,37,11,42695,3551,96.09,0.19
Bertie County, North Carolina,17934,17398,40,37,15,35042,3090,97.01,0.22
Bladen County, North Carolina,29606,28328,83,37,17,37188,4231,95.68,0.28
Buncombe County, North Carolina,269452,250488,836,37,21,55032,1434,92.96,0.31
Burke County, North Carolina,87570,82929,189,37,23,43915,1890,94.7,0.22
Caldwell County, North Carolina,80652,76194,184,37,27,46094,2305,94.47,0.23
Camden County, North Carolina,10355,9659,23,37,29,63834,2912,93.28,0.22
Caswell County, North Carolina,22736,21780,84,37,33,47938,4528,95.8,0.37
Catawba County, North Carolina,160610,149409,494,37,35,54690,1791,93.03,0.31
Cherokee County, North Carolina,28774,26942,65,37,39,40793,2333,93.63,0.23
Chowan County, North Carolina,13708,13149,47,37,41,44050,6104,95.92,0.34
Clay County, North Carolina,11089,10485,28,37,43,42160,5900,94.55,0.25
Columbus County, North Carolina,50623,48644,119,37,47,38487,3056,96.09,0.24
Craven County, North Carolina,100720,93583,446,37,49,53894,2017,92.91,0.44
Currituck County, North Carolina,28100,26097,114,37,53,73741,6731,92.87,0.41
Dare County, North Carolina,36915,34754,86,37,55,65420,3161,94.15,0.23
Davie County, North Carolina,42712,40175,177,37,59,62028,3252,94.06,0.41
Duplin County, North Carolina,48715,45573,132,37,61,43422,1431,93.55,0.27
Edgecombe County, North Carolina,48900,47246,120,37,65,40489,1490,96.62,0.25
Forsyth County, North Carolina,382590,354490,1593,37,67,53583,1197,92.66,0.42
Gaston County, North Carolina,227943,212834,709,37,71,53474,1199,93.37,0.31
Gates County, North Carolina,10478,9980,72,37,73,45871,6335,95.25,0.69
Granville County, North Carolina,60992,57716,232,37,77,56924,3607,94.63,0.38
Greene County, North Carolina,20451,19571,44,37,79,43563,3514,95.7,0.22
Halifax County, North Carolina,48622,46968,156,37,83,35904,2248,96.6,0.32
Harnett County, North Carolina,133568,121956,813,37,85,54565,1835,91.31,0.61
Henderson County, North Carolina,116281,108474,304,37,89,58928,2699,93.29,0.26
Hertford County, North Carolina,21552,20813,66,37,91,42588,1869,96.57,0.31
Hoke County, North Carolina,52082,46553,434,37,93,51140,2656,89.38,0.83
Iredell County, North Carolina,186693,174237,532,37,97,62551,1817,93.33,0.28
Jackson County, North Carolina,43109,40565,132,37,99,46820,2763,94.1,0.31
Jones County, North Carolina,9172,8754,45,37,103,38324,6319,95.44,0.49
Lee County, North Carolina,63285,57961,322,37,105,52294,2710,91.59,0.51
Lincoln County, North Carolina,86810,81274,177,37,109,59592,3319,93.62,0.2
McDowell County, North Carolina,44578,42469,84,37,111,47085,3260,95.27,0.19
Madison County, North Carolina,21193,20074,48,37,115,46190,4613,94.72,0.23
Martin County, North Carolina,22031,21300,76,37,117,39909,3248,96.68,0.34
Mitchell County, North Carolina,14903,14158,16,37,121,48841,4296,95,0.11
Montgomery County, North Carolina,25751,24430,74,37,123,45147,5118,94.87,0.29
Moore County, North Carolina,99727,93171,363,37,125,63324,3507,93.43,0.36
Nash County, North Carolina,94970,90707,290,37,127,49949,2177,95.51,0.31
New Hanover County, North Carolina,225702,211058,754,37,129,56689,1980,93.51,0.33
Northampton County, North Carolina,17471,16897,51,37,131,38969,2388,96.71,0.29
Onslow County, North Carolina,204576,182308,1730,37,133,51560,1807,89.12,0.85
Orange County, North Carolina,148696,136607,708,37,135,74803,2372,91.87,0.48
Pamlico County, North Carolina,12276,11648,74,37,137,48531,3791,94.88,0.6
Pasquotank County, North Carolina,40568,38239,183,37,139,54439,3369,94.26,0.45
Pender County, North Carolina,60203,56485,193,37,141,60044,2197,93.82,0.32
Perquimans County, North Carolina,13005,12351,41,37,143,51036,2371,94.97,0.32
Person County, North Carolina,39097,37161,113,37,145,57323,5287,95.05,0.29
Pitt County, North Carolina,170243,160878,683,37,147,49337,2248,94.5,0.4
Polk County, North Carolina,19328,18233,32,37,149,52125,5009,94.33,0.17
Randolph County, North Carolina,144171,134321,351,37,151,48984,1524,93.17,0.24
Richmond County, North Carolina,42946,40492,166,37,153,39051,3156,94.29,0.39
Robeson County, North Carolina,116530,110515,422,37,155,35362,1375,94.84,0.36
Rockingham County, North Carolina,91096,86442,252,37,157,45697,1593,94.89,0.28
Rowan County, North Carolina,146875,137079,431,37,159,51054,1487,93.33,0.29
Rutherford County, North Carolina,64444,60814,150,37,161,43183,1753,94.37,0.23
Sampson County, North Carolina,59036,55431,161,37,163,42914,2515,93.89,0.27
Scotland County, North Carolina,34174,32385,112,37,165,35936,2492,94.77,0.33
Stokes County, North Carolina,44520,42591,72,37,169,51668,1723,95.67,0.16
Surry County, North Carolina,71359,67255,151,37,171,44979,3011,94.25,0.21
Transylvania County, North Carolina,32986,31162,75,37,175,51509,4005,94.47,0.23
Tyrrell County, North Carolina,3245,3043,25,37,177,38250,13010,93.78,0.77
Vance County, North Carolina,42578,40870,128,37,181,41827,3252,95.99,0.3
Wake County, North Carolina,1129410,1043992,5064,37,183,83567,1282,92.44,0.45
Washington County, North Carolina,11003,10666,14,37,187,30941,5015,96.94,0.13
Watauga County, North Carolina,54086,51131,105,37,189,46453,2534,94.54,0.19
Wilkes County, North Carolina,65969,63018,114,37,193,44980,2049,95.53,0.17
Wilson County, North Carolina,78784,74513,245,37,195,44594,1669,94.58,0.31
Yancey County, North Carolina,18470,17602,56,37,199,44554,4508,95.3,0.3
Barnes County, North Dakota,10853,10459,11,38,3,60472,4453,96.37,0.1
Benson County, North Dakota,5964,5794,17,38,5,50329,4123,97.15,0.29
Bottineau County, North Dakota,6379,6086,9,38,9,65074,6436,95.41,0.14
Bowman County, North Dakota,2993,2888,6,38,11,70521,5275,96.49,0.2
Burleigh County, North Dakota,98458,94173,177,38,15,72974,2392,95.65,0.18
Cass County, North Dakota,184525,175047,413,38,17,65976,2052,94.86,0.22
Dickey County, North Dakota,4999,4792,11,38,21,64521,5733,95.86,0.22
Dunn County, North Dakota,4095,3832,11,38,25,82750,11174,93.58,0.27
Eddy County, North Dakota,2347,2214,11,38,27,52895,6898,94.33,0.47
Foster County, North Dakota,3397,3285,11,38,31,61250,11279,96.7,0.32
Golden Valley County, North Dakota,1736,1645,5,38,33,72308,10002,94.76,0.29
Grant County, North Dakota,2301,2233,6,38,37,53750,7651,97.04,0.26
Griggs County, North Dakota,2306,2238,9,38,39,53917,6536,97.05,0.39
Kidder County, North Dakota,2394,2330,9,38,43,52063,8119,97.33,0.38
LaMoure County, North Dakota,4093,4008,3,38,45,61477,8034,97.92,0.07
McHenry County, North Dakota,5345,5137,3,38,49,67039,5005,96.11,0.06
McIntosh County, North Dakota,2530,2456,2,38,51,51136,6556,97.08,0.08
McLean County, North Dakota,9771,9336,18,38,55,70261,4486,95.55,0.18
Mercer County, North Dakota,8350,7984,19,38,57,82087,7145,95.62,0.23
Mountrail County, North Dakota,9809,9011,34,38,61,70412,3430,91.86,0.35
Oliver County, North Dakota,1877,1805,4,38,65,66641,20634,96.16,0.21
Pembina County, North Dakota,6844,6440,12,38,67,60910,3581,94.1,0.18
Ramsey County, North Dakota,11605,10941,31,38,71,52688,4364,94.28,0.27
Ransom County, North Dakota,5703,5534,15,38,73,62235,4494,97.04,0.26
Richland County, North Dakota,16529,15891,16,38,77,60833,4409,96.14,0.1
Rolette County, North Dakota,12187,11664,18,38,79,46481,6716,95.71,0.15
Sheridan County, North Dakota,1265,1217,6,38,83,54250,9824,96.21,0.47
Sioux County, North Dakota,3898,3743,9,38,85,41893,5763,96.02,0.23
Stark County, North Dakota,33646,31783,90,38,89,69412,2810,94.46,0.27
Steele County, North Dakota,1798,1751,6,38,91,77167,8503,97.39,0.33
Towner County, North Dakota,2162,2085,7,38,95,49464,9550,96.44,0.32
Traill County, North Dakota,7997,7637,7,38,97,67604,4260,95.5,0.09
Ward County, North Dakota,69919,64401,343,38,101,68098,2345,92.11,0.49
Williams County, North Dakota,40950,37413,122,38,105,79508,7533,91.36,0.3
Adams County, North Dakota,2200,2117,16,38,1,48750,5699,96.23,0.73
Billings County, North Dakota,945,926,2,38,7,64896,9532,97.99,0.21
Burke County, North Dakota,2201,2147,5,38,13,79405,10358,97.55,0.23
Cavalier County, North Dakota,3704,3573,5,38,19,54955,9922,96.46,0.13
