County_State,State,Total_Population,Male_Population,Female_Population,State_Code,County_Code,Median_Income,Margin_Error_Income,Percent_Male,Percent_Female
Santa Rosa County, Florida,188000,171424,1102,12,113,70663,2388,91.18,0.59
Sarasota County, Florida,434006,400387,1157,12,115,64644,1378,92.25,0.27
Seminole County, Florida,470856,401616,3228,12,117,70297,1740,85.29,0.69
Sumter County, Florida,129752,124240,173,12,119,59618,2930,95.75,0.13
Suwannee County, Florida,43474,40448,82,12,121,46280,4902,93.04,0.19
Taylor County, Florida,21796,20887,54,12,123,38295,7390,95.83,0.25
Union County, Florida,16147,15528,42,12,125,55139,5009,96.17,0.26
Volusia County, Florida,553543,498561,2297,12,127,52407,908,90.07,0.41
Wakulla County, Florida,33764,31795,74,12,129,67480,6183,94.17,0.22
Walton County, Florida,75305,69567,275,12,131,67390,3803,92.38,0.37
Washington County, Florida,25318,23831,91,12,133,37260,4430,94.13,0.36
Polk County, Florida,725046,631275,3534,12,105,51535,861,87.07,0.49
Appling County, Georgia,18444,17737,29,13,1,37924,4761,96.17,0.16
Atkinson County, Georgia,8286,7613,27,13,3,35703,5493,91.88,0.33
Bacon County, Georgia,11140,10643,18,13,5,36692,3774,95.54,0.16
Baker County, Georgia,2876,2758,18,13,7,34034,9879,95.9,0.63
Banks County, Georgia,18035,17053,28,13,11,50912,4278,94.56,0.16
Barrow County, Georgia,83505,76740,296,13,13,62990,2562,91.9,0.35
Ben Hill County, Georgia,17194,16434,47,13,17,32077,4008,95.58,0.27
Bibb County, Georgia,157346,151075,338,13,21,41317,1220,96.01,0.21
Bleckley County, Georgia,12583,12216,30,13,23,46992,6279,97.08,0.24
Brooks County, Georgia,16301,15600,39,13,27,37516,4438,95.7,0.24
Bryan County, Georgia,44738,40943,258,13,29,76121,4297,91.52,0.58
Burke County, Georgia,24596,23690,41,13,33,45699,3183,96.32,0.17
Butts County, Georgia,25434,24242,53,13,35,48282,4673,95.31,0.21
Camden County, Georgia,54768,50464,263,13,39,60594,4451,92.14,0.48
Carroll County, Georgia,119148,111334,361,13,45,59197,3241,93.44,0.3
Catoosa County, Georgia,67872,64020,121,13,47,58932,3606,94.32,0.18
Chatham County, Georgia,295291,277057,1175,13,51,57739,1940,93.83,0.4
Chattahoochee County, Georgia,9565,8525,82,13,53,45700,5319,89.13,0.86
Cherokee County, Georgia,266620,242028,1000,13,57,84817,2483,90.78,0.38
Clarke County, Georgia,128671,120054,320,13,59,40363,2053,93.3,0.25
Clayton County, Georgia,297595,280614,1160,13,63,49460,1144,94.29,0.39
Cobb County, Georgia,766149,693000,4025,13,67,80830,1167,90.45,0.53
Coffee County, Georgia,43092,40920,68,13,69,42526,2986,94.96,0.16
Columbia County, Georgia,156010,142313,1086,13,73,82251,3634,91.22,0.7
Cook County, Georgia,17229,16470,31,13,75,40943,6563,95.59,0.18
Crawford County, Georgia,12130,11521,46,13,79,47917,7445,94.98,0.38
Crisp County, Georgia,20128,19482,19,13,81,38272,3857,96.79,0.09
Dawson County, Georgia,26798,25073,32,13,85,72260,6862,93.56,0.12
DeKalb County, Georgia,764382,714489,3286,13,89,65116,1327,93.47,0.43
Dodge County, Georgia,19925,19305,32,13,91,42211,4344,96.89,0.16
Dougherty County, Georgia,85790,83230,183,13,95,40947,1063,97.02,0.21
Douglas County, Georgia,144237,133692,667,13,97,67651,2829,92.69,0.46
Echols County, Georgia,3697,3313,21,13,101,44454,6851,89.61,0.57
Elbert County, Georgia,19637,18863,40,13,105,39323,5318,96.06,0.2
Emanuel County, Georgia,22768,22066,27,13,107,38423,3513,96.92,0.12
Fannin County, Georgia,25319,24179,31,13,111,46028,3247,95.5,0.12
Fayette County, Georgia,119194,110169,547,13,113,93777,2861,92.43,0.46
Forsyth County, Georgia,251283,230990,798,13,117,112834,2012,91.92,0.32
Fulton County, Georgia,1066710,995802,4480,13,121,72741,1239,93.35,0.42
